uid,blink,artist,title
36,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=36&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=92fc220f8c44d1a08078ead01fe54a8f,Paul Cézanne,Der Knabe mit der roten Weste
41,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=41&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=bf4cfdccd43fc40c0e8fc1f4d618e3e1,Camille Corot,Das lesende Mädchen
54,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=54&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=8f981e0f342580eef230d049723b3ade,Edgar Degas,Ludovic Lepic und seine Töchter
69,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=69&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=f96b699a37df4063db0283a7f9989148,Paul Gauguin,Die Opfergabe
74,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=74&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=73f3267e511edaba4e9ecf9e5ece00d8,Vincent van Gogh,Der Sämann bei untergehender Sonne
82,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=82&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=4eb6e8165bd7bf5ba79e435316b1cdfe,Edouard Manet,Im Garten der Villa Bellevue
86,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=86&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=1c1b19bb35d887d491a59cc4d943076a,Claude Monet,Mohnblumenfeld bei Vétheuil
91,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=91&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=d0ee147ee587d41d90e1d724fe577f3d,Camille Pissarro,"Das Gespräch, Louveciennes"
101,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=101&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=8158ca23ce473599ed400016e04838da,Auguste Renoir,Irène Cahen d`Anvers (Die kleine Irene)
106,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=106&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=15be6c52cf3576c71b71d9a9fd104716,Paul Signac,Die Hutmacherinnen
98,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=98&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=b8f2aa8169db7a05b5dea3402e0e6c66,Alfred Sisley,Sommer bei Argenteuil (Sommer bei Bougival)
113,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=113&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=a4b51c4f6a29896f1e7612aa8da80e88,Henri de Toulouse-Lautrec,Messaline
31,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=31&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=d06a2475280647c6144f82890826b70a,Paul Cézanne,Fabriken beim Mont de Cengle
32,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=32&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=c8537d9371357bfd24d2000c43ef734e,Paul Cézanne,Die Versuchung des Heiligen Antonius
33,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=33&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=f2bb30109a2d9279c4ec71d76b3a2a12,Paul Cézanne,Blumen und Früchte
34,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=34&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=db15bbc3c37ee281cee24bb4e494b7a9,Paul Cézanne,Madame Cézanne mit dem Fächer
35,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=35&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=32e2ae49e64522d177472e40c13364fd,Paul Cézanne,Landschaft
37,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=37&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=38eaf016c31fbbfe8719c6ab3a0f00af,Paul Cézanne,Selbstbildnis mit Palette
38,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=38&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=9b13f005d912979f0b069f77e80fd636,Paul Cézanne,Der Mont de Cengle
39,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=39&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=70fef45b290f455c1a0b4315f8b5f7e0,Paul Cézanne,Der Gärtner Vallier
66,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=66&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=e963293baff874e9681fc2222b9fa17c,Paul Gauguin,Idyll auf Tahiti
67,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=67&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=4cf3667bd7320c0012c2e044c1aa44b2,Paul Gauguin,Sonnenblumen auf einem Armsessel
68,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=68&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=b8d740e7211490a69cbc22f0e69ba7b3,Paul Gauguin,Früchte und Messer
70,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=70&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=baedce41cbc27de4755f3fa3276c4068,Vincent van Gogh,Der alte Turm
71,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=71&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=f67a553fe3a3657ddcc61f35f0166b01,Vincent van Gogh,Kopf einer Bäuerin
72,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=72&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=225651a0cce0e3e48b9ba15272dd68a0,Vincent van Gogh,Selbstbildnis
73,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=73&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=3395300b363ab99ddbcfe232b1455f67,Vincent van Gogh,Die Seine-Brücken bei Asnières
75,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=75&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=cab9ebb0130f18de664f29647a9896e0,Vincent van Gogh,Zwei Bäuerinnen
76,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=76&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=2b919fc18bf9af8fd42926611fdf3c01,Vincent van Gogh,Blühende Kastanienzweige
132,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=132&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=31174730bf9751dd90846507f970a980,Georges Seurat,"Studie zu ""La Grande-Jatte"""
133,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=133&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=7fd6b3538c454505e5cd4c9dc1ee85f8,Georges Seurat,"Studie zu ""La Parade"""
25,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=25&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=60678f21069ca7afd0b4504ccba01659,Eugène Boudin,"Trouville, bei Ebbe"
24,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=24&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=8324e572e8da0341fa97c9db94505e6f,Eugène Boudin,Strand bei Berck
47,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=47&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=834e829eb37ab158a8f9a2834c9f9e36,Gustave Courbet,Winterlandschaft
65,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=65&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=47c4d29b60f0f5bc91034ae41520fdd2,Paul Gauguin,Die Strasse
87,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=87&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=24f5e35a60166d1651fa111f13911229,Claude Monet,Mohnblumenfeld
88,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=88&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=272e89676a4f249d9610c3ce2b68609b,Claude Monet,Monets Garten in Giverny
89,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=89&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=4da264521c0f402ea6b1341a55b3ab61,Claude Monet,"Waterloo Bridge, London, in der Sonne"
90,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=90&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=be89c5543140f5d1ec51eb19e02ca168,Claude Monet,Seerosenteich mit grüner Spiegelung
92,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=92&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=c7d4c7b2b3005586a104148e7d8e6191,Camille Pissarro,Blick auf das Dorf Marly-le-Roi
93,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=93&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=86cd19e5373bc4a3053b77381d05aedb,Camille Pissarro,"Die Strasse nach Versailles, Louveciennes, bei Schnee"
94,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=94&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=cbf6c2c0e3c1af15c1047dfb2a568063,Camille Pissarro,"Die Strasse nach Osny in Pontoise, bei Reif"
96,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=96&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=d948a6c35ebc64fdd48fe73d153ebd02,Alfred Sisley,Regatta in Hampton Court
97,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=97&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=f998a225afa4e64f11b5b9aed243d3cb,Alfred Sisley,Die Strasse entlang der Pferdetränke von Marly-le-Roi bei Schneewetter
99,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=99&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=ebafe401f16a70c72206cdf51e633e66,Alfred Sisley,Saint-Mammès während des Streiks am 14. Juli
55,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=55&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=97b4185140362bfb3f0c9d440f33ced8,Edgar Degas,Vor dem Start
218,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=218&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=a676b4185fc72e59f974255a19cc4407,Edgar Degas,Kleine vierzehnjährige Tänzerin
56,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=56&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=7667cd9bfee0597f021a6e8e5d2b4cf6,Edgar Degas,Tänzerinnen im Foyer
64,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=64&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=d73a2874021777f6fb504e097dad4e93,Paul Gauguin,Stickerin (Mette Gauguin)
119,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=119&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=769607d0e85168d0cc154d3f4d944f7e,Berthe Morisot,Junge Frau auf einer Chaiselongue
95,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=95&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=62c698bd443a467cfd2b731603e30c9f,Camille Pissarro,Die Wollkämmerin
102,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=102&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=3b3e44e482d42ae2d486c07958a84456,Auguste Renoir,Fasan und Rebhuhn
103,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=103&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=12ba2730e956724955010d443126a1ad,Auguste Renoir,Dahlien
104,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=104&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=f97cbf17998b7f2988100df159999729,Auguste Renoir,Zwei Mädchen
105,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=105&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=872e602cbc0848fbb3b599025eedf08b,Auguste Renoir,Die Quelle
21,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=21&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=a6e0a5f3342e319a14caab1000069fc8,Pierre Bonnard,Das Mittagessen
20,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=20&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=702f746f1f9c63c666bf1442e1a3ff16,Pierre Bonnard,Ambroise Vollard
22,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=22&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=c8eb519b92ea9ae50ba7474ed29bedd2,Pierre Bonnard,Interieur
23,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=23&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=8d061d8e6fff79a6f4eac5e1d98ce5d2,Pierre Bonnard,Frau bei der Toilette
19,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=19&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=7ac66288a68a5d6b5c3688c7951f07f8,Pierre Bonnard,Place de la Concorde
59,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=59&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=3d19081474f87758381c50b2255e0dd3,Raoul Dufy,Jahrmarkt
118,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=118&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=9a3110d2f7ccfefcfcc7f1b19c19c7b6,Henri Matisse,"Der Pont Saint-Michel, Paris, bei Schnee"
120,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=120&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=31ab161e7941562ad1dc80d9e2afe2c5,Pablo Picasso,Gustave Coquiot
121,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=121&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=10447c6de5824770a8bdab2854f55883,Pablo Picasso,Vor der Kirche
127,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=127&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=281670eaebe9b0460ff82d56b8e9ac23,Odilon Redon,Kalvarienberg
128,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=128&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=78115b0223de02c1c5e9115fd3057d79,Odilon Redon,Der Sturz des Phaëton
107,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=107&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=6e86a3b107a46bc5cba56732731f9124,Paul Signac,"Canal della Giudecca, Morgen (Santa Maria della Salute)"
